session_id,label
1,5
3,3
8,3
10,6
17,6
26,0
30,6
43,0
45,5
47,2
64,3
67,3
73,6
76,6
78,7
84,9
86,2
94,6
95,9
98,0
99,2
104,2
111,0
118,2
123,5
128,5
130,5
131,0
138,2
139,6
141,9
142,0
146,3
153,5
156,2
159,0
201,0
202,10
207,2
208,5
211,11
215,0
219,7
225,6
229,2
235,8
236,9
237,4
242,10
247,6
250,5
252,1
282,5
283,6
286,2
289,5
294,8
297,0
300,5
301,0
319,5
327,0
328,5
331,5
337,11
339,2
341,6
346,0
349,0
355,6
361,6
371,5
376,6
381,0
383,2
386,10
389,6
390,10
394,9
395,0
405,2
406,9
407,6
418,0
423,6
433,6
439,3
440,5
446,5
447,8
449,2
453,2
454,9
459,10
461,0
468,0
472,3
473,0
477,10
479,6
481,9
485,9
489,3
507,0
510,5
511,9
514,2
517,10
520,0
521,10
523,4
530,0
534,5
537,0
541,6
549,7
554,0
556,0
570,6
573,5
576,5
580,0
589,5
591,5
593,0
600,5
603,5
606,3
609,6
629,0
642,7
650,0
654,0
657,7
659,0
665,6
666,6
675,11
680,6
687,8
695,5
707,0
709,7
715,7
717,9
721,0
729,6
732,10
733,5
740,6
749,8
752,0
756,5
758,5
762,6
764,0
768,0
775,11
776,5
780,5
784,2
786,5
796,9
798,5
799,8
825,3
831,5
838,6
839,6
842,9
856,7
859,6
860,6
869,0
873,3
891,0
892,3
893,2
898,0
900,0
910,6
913,0
914,6
915,1
919,0
921,5
923,6
936,0
938,6
941,7
945,2
949,0
953,3
954,2
958,5
960,6
985,1
986,5
987,3
1002,0
1006,0
1012,0
1022,5
1024,6
1044,10
1048,7
1053,6
1057,5
1060,6
1061,7
1062,7
1068,7
1079,2
1082,0
1087,8
1098,2
1099,7
1103,3
1115,0
1116,10
1120,2
1122,0
1129,1
1131,6
1132,6
1133,1
1137,3
1138,6
1142,6
1147,7
1149,0
1155,7
1164,6
1170,5
1189,6
1191,11
1198,3
1200,0
1211,6
1212,9
1218,7
1223,0
1236,0
1237,0
1239,5
1246,5
1248,3
1249,5
1250,3
1251,3
1252,3
1253,5
1266,5
1268,2
1270,3
1273,7
1275,0
1276,10
1277,10
1280,6
1283,7
1297,0
1315,6
1321,5
1322,0
1323,6
1326,3
1329,0
1330,5
1331,5
1332,5
1345,0
1346,6
1349,0
1353,6
1362,6
1377,9
1379,7
1381,10
1384,0
1386,5
1388,0
1389,0
1394,10
1404,0
1405,2
1407,0
1411,9
1415,5
1418,0
1419,5
1420,2
1422,0
1426,6
1430,6
1439,9
1443,5
1451,6
1452,6
1461,6
1462,9
1467,5
1468,3
1479,2
1489,10
1493,0
1497,9
1498,9
1504,0
1506,6
1507,6
1511,0
1514,6
1519,9
1520,2
1528,5
1533,2
1535,5
1536,0
1539,5
1540,3
1544,5
1549,6
1556,3
1557,6
1562,6
1564,6
1579,2
1587,6
1589,2
1601,6
1613,0
1615,5
1622,5
1626,6
1629,6
1634,2
1635,5
1648,0
1651,5
1652,5
1653,3
1654,5
1655,7
1656,3
1657,2
1658,2
1659,2
1663,6
1669,3
1673,6
1674,5
1682,5
1687,7
1691,5
1698,6
1703,7
1716,9
1718,2
1719,0
1720,2
1722,0
1724,10
1731,7
1740,2
1743,2
1753,10
1757,7
1758,0
1762,2
1763,0
1787,9
1803,6
1827,9
1831,6
1853,6
1863,9
1864,0
1867,5
1871,5
1877,5
1881,0
1888,5
1891,0
1899,5
1905,6
1921,0
1923,6
1926,6
1927,3
1928,5
1930,0
1931,5
1932,2
1939,0
1942,0
1947,5
1950,5
1955,6
1958,5
1960,0
1965,5
1967,0
1972,0
1974,0
1981,10
1989,11
1991,1
1996,10
2001,0
2003,6
2008,6
2011,0
2012,10
2016,2
2018,10
2028,0
2040,9
2049,7
2052,5
2057,5
2060,0
2061,10
2073,9
2090,10
2098,6
2100,6
2101,7
2103,7
2104,6
2105,9
2106,6
2110,6
2111,7
2113,6
2115,9
2118,6
2119,7
2124,7
2126,6
2132,7
2135,6
2136,6
2137,6
2138,7
2139,6
2141,6
2148,6
2150,6
2152,6
2158,6
2171,10
2185,9
2186,0
2189,2
2191,5
2200,7
2204,5
2209,9
2212,1
2213,0
2217,10
2223,2
2227,5
2231,5
2237,6
2239,5
2241,9
2247,5
2250,6
2258,6
2264,5
2275,6
2276,2
2277,5
2279,6
2283,5
2298,5
2301,3
2305,2
2309,0
2313,7
2319,6
2332,6
2333,3
2340,5
2341,6
2343,7
2344,7
2346,8
2352,7
2353,6
2354,8
2355,7
2356,7
2360,0
2361,8
2362,2
2364,2
2365,8
2366,0
2367,8
2368,8
2369,2
2371,2
2372,2
2373,3
2374,2
2376,3
2377,5
2379,5
2382,5
2383,5
